REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R533,MTABC - COLLEGE POINT DEPOT2* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,                                                                                                    
R535,AIRTRAIN @ HOWARD BEACH       ,12985,201,0,0,2,0,0,0,0,0,0,96,0,0,0,240,0,0,11034,6930,1268,40,0,0,0,0,                                                                                                    
R536,AIRTRAIN JAMAICA CENTER 1     ,28642,286,0,0,67,0,0,0,0,0,0,231,0,0,0,726,0,0,37517,24009,5503,1012,0,0,0,0,                                                                                                    
R540,PA-PATH WORLD TRADE CNTR      ,101830,0,0,0,43,0,0,0,0,0,0,1098,0,0,0,0,0,1202,857,0,0,0,0,0,0,0,                                                                                                    
R541,PA-PATH THIRTY THIRD ST       ,65337,0,0,0,95,0,0,0,0,0,0,721,0,0,0,0,0,2558,810,0,0,0,0,0,0,0,                                                                                                    
R542,PA-PATH TWENTY THIRD ST       ,18279,0,0,0,3,0,0,0,0,0,0,274,0,0,0,0,0,235,211,0,0,0,0,0,0,0,                                                                                                    
R543,PA-PATH EXCHANGE PLACE        ,29296,0,0,0,30,0,0,0,0,0,0,305,0,0,0,0,0,457,295,0,0,0,0,0,0,0,                                                                                                    
R544,PA-PATH HARRISON              ,13906,0,0,0,1,0,0,0,0,0,0,132,0,0,0,0,0,594,103,0,0,0,0,0,0,0,                                                                                                    
R545,PA-PATH 14TH STREET           ,20985,0,0,0,8,0,0,0,0,0,0,234,0,0,0,0,0,420,270,0,0,0,0,0,0,0,                                                                                                    
R546,PA-PATH PAVONIA/NEWPORT       ,27985,0,0,0,57,0,0,0,0,0,0,366,0,0,0,0,0,841,418,0,0,0,0,0,0,0,                                                                                                    
R547,PA-PATH 9TH STREET            ,11300,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,96,142,0,0,0,0,0,0,0,                                                                                                    
R548,PA-PATH CHRISTOPHER ST        ,12083,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,149,165,0,0,0,0,0,0,0,                                                                                                    
R549,PA-PATH NEWARK                ,54332,0,0,0,9,0,0,0,0,0,0,375,0,0,0,0,0,2390,430,0,0,0,0,0,0,0,                                                                                                    
R550,PA-PATH HOBOKEN               ,61808,0,0,0,27,0,0,0,0,0,0,731,0,0,0,0,0,718,553,0,0,0,0,0,0,0,                                                                                                    
R551,PA-PATH GROVE ST              ,36181,0,0,0,9,0,0,0,0,0,0,446,0,0,0,0,0,902,442,0,0,0,0,0,0,0,                                                                                                    
R552,PA-PATH JOURNAL SQUARE        ,43555,0,0,0,8,0,0,0,0,0,0,320,0,0,0,0,0,2144,451,0,0,0,0,0,0,0,                                                                                                    
R555,SBS-M15 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,                                                                                                    
R556,SBS-BX12 @ LIVINGSTON PLAZA   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,                                                                                                    
R557,SBS-M34 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,                                                                                                    
R558,SBS-BX41 @ LIVINGSTON PLAZA   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,                                                                                                    
R559,SBS-B44 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,                                                                                                    
R560,SBS-M60 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,                                                                                                    
R561,SBS-M86 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,                                                                                                    
R562,MTABC - EASTCHESTER 2         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,                                                                                                    
R563,SBS-B46 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,                                                                                                    
R564,SBS-Q44 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,                                                                                                    
R567,SBS-M23 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,                                                                                                    
R568,SBS-M79 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,                                                                                                    
R569,SBS-BX6 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,                                                                                                    
R570,72ND STREET - 2 AVENUE        ,76173,6798,311,976,190,19346,54690,0,0,0,297,1465,799,211,7768,3909,1828,0,827,0,0,0,4184,0,77,0,                                                                                                    
R571,86TH STREET - 2 AVENUE        ,56982,5921,262,816,50,17630,54491,0,0,0,113,1309,550,80,8021,3134,1866,0,810,0,0,0,2730,0,60,0,                                                                                                    
R572,96TH STREET - 2 AVENUE        ,36117,3151,281,1123,9,16178,37876,0,0,0,90,621,516,67,5704,1598,1120,0,427,0,0,0,4154,0,126,0,                                                                                                    
R573,SBS-Q52/53 @ LIVINGSTON PLAZA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,                                                                                                    
R574,SBS-B82 @ LIVINGSTON PLAZA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,                                                                                                    
