UNIT,STATION,REMOTE, STATION,Station ID
R236,DEKALB AV,R236,DEKALB AVE-WYCKOFF AVE        ,127
R266,HALSEY ST,R266,HALSEY STREET-WYCKOFF AVE     ,129
R295,WILSON AV,R295,WILSON AVENUE-MOFFAT STREET   ,130
R313,BUSHWICK AV,R313,BUSHWICK AVENUE-ABERDEEN ST   ,131
R348,ATLANTIC AV,R348,ATLANTIC AV-VAN SINDEREN AV   ,133
R349,SUTTER AV,R349,SUTTER AVE-VAN SINDEREN AVE   ,134
R350,LIVONIA AV,R350,LIVONIA AVE-VAN SINDEREN AV   ,135
R375,NEW LOTS,R375,NEW LOTS AV-VAN SINDEREN AV   ,136
R376,EAST 105 ST,R376,EAST 105TH ST-FARRAGUT ROAD   ,137
R152,CANARSIE-ROCKAW,R152,ROCKAWAY PKWY-GLENWOOD RD     ,138
R411,PARK PLACE,R411,PARK PLACE-FRANKLIN AVENUE    ,141
R412,BOTANIC GARDEN,R412,BOTANIC GARDEN-FRANKLIN AVE   ,142
R173,INWOOD-207 ST,R173,207TH STREET-BROADWAY         ,143
R036,DYCKMAN ST,R036,DYCKMAN STREET                ,144
R280,190 ST,R280,190TH STREET-OVERLOOK TERR    ,145
R174,181 ST,R174,181ST STREET-FT WASH AVE      ,146
R126,175 ST,R126,175TH STREET/FT WASHINGTON    ,147
R035,168 ST,R035,168TH STREET & BROADWAY       ,148
R296,163 ST-AMSTERDM,R296,163RD ST & AMSTERDAM AVE      ,149
R315,155 ST,R315,155TH STREET-8TH AVENUE       ,150
R101,145 ST,R101,145TH STREET                  ,151
R332,135 ST,R332,135TH STREET-ST NICHOLAS AV   ,152
R102,125 ST,R102,125TH STREET                  ,153
R333,116 ST,R333,116TH STREET-8TH AVENUE       ,154
R334,CATHEDRAL PKWY,R334,110TH STREET-8TH AVENUE       ,155
R314,103 ST,R314,103RD ST-CENTRAL PARK WEST    ,156
R251,96 ST,R251,96TH ST-CENTRAL PARK WEST     ,157
R186,86 ST,R186,86TH ST-CENTRAL PARK WEST     ,158
R187,81 ST-MUSEUM,R187,81ST STREET-MUSEUM            ,159
R281,72 ST,R281,72ND STREET-CENTRAL PK WEST   ,160
R084,59 ST COLUMBUS,R084,59TH STREET/COLUMBUS CIRCLE   ,161
R188,50 ST,R188,50TH STREET-8TH AVENUE        ,162
R010,42 ST-PORT AUTH,R010,42ND STREET & 8TH AVENUE      ,163
R011,42 ST-PORT AUTH,R011,42ND STREET & 8TH AVENUE      ,163
R012,34 ST-PENN STA,R012,34TH STREET & 8TH AVENUE      ,164
R013,34 ST-PENN STA,R013,34TH STREET & 8TH AVENUE      ,164
R111,23 ST,R111,23RD STREET & 8TH AVENUE      ,165
R175,14 ST,R175,8TH AVENUE-14TH STREET        ,166
R138,W 4 ST-WASH SQ,R138,WEST 4TH ST-WASHINGTON SQ     ,167
R282,SPRING ST,R282,SPRING STREET-6TH AVENUE      ,168
R139,CANAL ST,R139,CANAL STREET-LISPENARD ST     ,169
R029,CHAMBERS ST,R029,PARK PLACE                    ,170
R029,WORLD TRADE CTR,R029,PARK PLACE                    ,171
R252,HIGH ST,R252,HIGH ST-CADMAN PLAZA WEST     ,173
R217,HOYT-SCHER,R217,HOYT ST-SCHERMERHORN ST       ,175
R283,LAFAYETTE AV,R283,LAFAYETTE AVENUE-FULTON ST    ,176
R284,CLINTON-WASH AV,R284,CLINTON AVENUE-FULTON ST      ,177
R297,FRANKLIN AV,R297,FRANKLIN AVENUE-FULTON ST     ,178
R198,NOSTRAND AV,R198,NOSTRAND AVE-FULTON ST        ,179
R199,KINGSTON-THROOP,R199,KINGSTON AVE-THROOP AVE       ,180
R153,UTICA AV,R153,UTICA AVE-STUYVESANT AVE      ,181
R438,RALPH AV,R438,RALPH AVENUE-FULTON STREET    ,182
R065,ROCKAWAY AV,R065,ROCKAWAY AVENUE               ,183
R440,LIBERTY AV,R440,LIBERTY AVE-PENNSYLVANIA AV   ,185
R441,VAN SICLEN AVE,R441,VAN SICLEN AVE-PITKIN AVE     ,186
